Season, Episode, Character, Line
6, 89, "Bender", "On the count of three, you will awaken feeling refreshed, as if Futurama had never been cancelled by idiots, then brought back by bigger idiots. 1... 2... ."
6, 89, "Bender", "This has been a test of the Emergency Hypnotoad System.  Had this been an actual hypnosis, you would go limp and watch whatever crap comes on next.  Comin' up next"
6, 89, "Fry", "Professor, my Fry-fro's all frizzy."
6, 89, "Farnsworth", "OK."
6, 89, "Fry", "That's all.   Oh, also; I'm covered with severe burns."
6, 89, "Farnsworth", "So!?  What of it?"
6, 89, "Fry", "Well, why is– those things?"
6, 89, "Farnsworth", "You mean you don't remember?"
6, 89, "Fry", "Nope, nothing. It's like when I passed out in college, except no one drew magic marker penises on my forehead."
6, 89, "Farnsworth", "Well, I suppose it's for the best, considering the unbearable horrors you've endured. Let's never speak of it again.  It all began a few days ago. We were interstellar fugitives on the run from the law."
6, 89, "Zapp", "Fire all weapons and open a hailing frequency for my victory yodel."
6, 89, "Farnsworth", "And so, as you and Leela kissed goodbye in a tender display of toungesmanship, we plunged into a massive wormhole. Never to be seen again."
6, 89, "Bender", "Yeah, we're back."
6, 89, "Hermes", "Sweet coincidence of Port-au-Prince, we're back at Earth!"
6, 89, "Farnsworth", "Of course, that was the Panama Wormhole, Earth's central channel for shipping!"
6, 89, "Zoidberg", "How humorous."
6, 89, "Farnsworth", "Yes! It's sort of a Comedy Central channel, and we're on it now!"
6, 89, "Amy", "I get it!"
6, 89, "Fry", "We've lost power to the forward Game Boy, Mario not responding!"
6, 89, "Leela", "Brace for emergency landing!"
6, 89, "Farnsworth", "Rodger that, activate Safety Spheres!  Also mine has air conditioning."
6, 89, "Farnsworth", "Yet, thanks to my trusty safety sphere, I surblibed with only tribial bray dablage."
6, 89, "Fry", "And the others?"
6, 89, "Farnsworth", "Right here behind this horror cloth."
6, 89, "Fry", "Are they dead?"
6, 89, "Farnsworth", "Oh, no no no, much worse."
6, 89, "Farnsworth", "Move over God! Prepare for rebirth!  Wrong switch."
6, 89, "Farnsworth", "Come on, stem cells. Work your astounding scientific nonsense!"
6, 89, "Fry", "Fetal steam cells? Aren't those controversial?"
6, 89, "Farnsworth", "In your time yes, but nowadays, shut up! Besides, these are adult stem cells harvested from perfectly healthy adults, whom I killed for their stem cells."
6, 89, "Fry", "Hermes Conrad!"
6, 89, "Hermes", "Oh, mon! I'm dripping with placenta! Good thing it's Casual Friday."
6, 89, "Fry", "Amy Wong!"
6, 89, "Amy", "Oh, baby soft!"
6, 89, "Farnsworth", "Indeed.Hermes"
6, 89, "Hermes", "Dr. Zoidberg!"
6, 89, "Zoidberg", "Hermes, my friend! Let me cut off your umbilical cord.  Oops."
6, 89, "Fry", "And the rest!"
6, 89, "Amy", "Hooray, we're back in business!"
6, 89, "Zapp", "Over my dead body.  Uh, never mind."
6, 89, "Fry", "Bender! Are the steam cells working?"
6, 89, "Bender", "I'm dying. I need mouth to ass resuscitation."
6, 89, "Fry", "I'm on it!  It's not working!"
6, 89, "Bender", "I die happy knowing you fell for that."
6, 89, "Farnsworth", "His power supply is shot! He is flatlining!  Only one thing can keep him alive.  Possibly this thing."
6, 89, "Bender", "Woo! I've never felt so energetic!"
6, 89, "Farnsworth", "That's because the doomsday device I shoved all up in you puts out 50 gigawatts. That's ten times your recommended--"
6, 89, "Bender", "Who are you? My warranty?"
6, 89, "Farnsworth", "For God's sake, Bender! Keep dancing, keep whooping it up!  You must burn off the doomsday energy as fast as it produces, or it will build to critical levels."
6, 89, "Bender", "You don't mean..."
6, 89, "Farnsworth", "Oh, but I do. If you stop partying for a single second, you'll explode and kill everyone here in a fireball of melting gears and splattered bowels."
6, 89, "Bender", "Sounds like a party, baby!"
6, 89, "Fry", "Hey! Speaking of splattered bowels, can I cook you a romantic dinner tonight, Leela?... Where's Leela?  Is she okay? Why hasn't she acknowledged my dinner offer?"
6, 89, "Farnsworth", "Something's wrong! She's not responding to my poking stick."
6, 89, "Fry", "Poke harder, damn it!"
