Season, Episode, Character, Line
1, 1, Fry, Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
1, 1, Fry, And that's how you play the game!
1, 1, Boy, You stink, loser!
1, 1, Panucci, Hey, Fry. Pizza goin' out! C'mon!!
1, 1, Fry, Michelle, baby! Where you going?
1, 1, Michelle, It's not working out, Fry.   I put your stuff out on the sidewalk!
1, 1, Fry, I hate my life, I hate my life, I hate my life.
1, 1, Bike Thief, Happy new year!
1, 1, Fry, Hello? Pizza delivery for, uh ...  ... Icy Wiener? Aw, crud! I always thought at this point in my life I'd be the one making the crank calls!  Here's to another lousy millennium.
1, 1, Crowd, Ten!
1, 1, Crowd, Neuf!
1, 1, Crowd, Otto!
1, 1, Crowd, Saba!
1, 1, Crowd, Eksi!
1, 1, Crowd, Wu!
1, 1, Crowd, Char!
1, 1, Crowd, Thathu!
1, 1, Crowd, Nee!
1, 1, Crowd, One!
1, 1, Fry, What the--?
1, 1, Fry, My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!
1, 1, Terry, Welcome to the world of tomorrow!
1, 1, Lou, Why do you always have to say it that way?
1, 1, Terry, Haven't you ever heard of a little thing called showmanship?   Come, your destiny awaits!
1, 1, Lou, Have a nice future.
1, 1, Fry, Cool! Just like in Star Trek!  Ow!
1, 1, Leela, Good afternoon, sir.  Name?
1, 1, Fry, Uh, Fry.
1, 1, Leela, I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here.
1, 1, Fry, Can I ask you a question?
1, 1, Leela, As long as it's not about my eye.
1, 1, Fry, Uh...
1, 1, Leela, Is it about my eye?
1, 1, Fry, Sort of.
1, 1, Leela, Just ask the question.
1, 1, Fry, What's with the eye?
1, 1, Leela, I'm an alien, alright? Now let's drop the subject.
1, 1, Fry, Cool, an alien! Has your race taken over the Earth?
1, 1, Leela, No, I just work here.
1, 1, Fry, Wait a minute! Is that blimp accurate?
1, 1, Leela, Yep. It's December 31st, 2999.
1, 1, Fry, My God! A million years!
1, 1, Leela, I'm sure this must be very upsetting for you.
1, 1, Fry, Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.
1, 1, Leela, Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator.
1, 1, Leela, Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...
1, 1, Leela, ...great-great-great-great-great nephew.
1, 1, Fry, That's great! What's the little guy's name?
1, 1, Leela, Professor Hubert Farnsworth.
1, 1, Fry, Eurgh!
1, 1, Fry, Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser.  What's that?
1, 1, Leela, Your permanent career assignment.
1, 1, Fry, Delivery boy? No! Not again! Please! Anything else!
1, 1, Leela, Take your hands off me! You've been assigned the job you're best at just like everyone else.
1, 1, Fry, What if I refuse?
1, 1, Leela, Then you'll be fired--
1, 1, Fry, Fine!
1, 1, Leela, Out of a cannon into the Sun!
1, 1, Fry, But I don't like being a delivery boy.
1, 1, Leela, Well that's tough! Lots of people don't like their jobs but we do them anyway.  You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.
1, 1, Fry, Keep that thing away from me!
1, 1, Leela, Hold still, dammit. I don't have good depth perception!  You've got until the count of five to let me out of here. One--
1, 1, Fry, See you in a thousand years!  You owe me one.
1, 1, Fry, Whoa!
1, 1, Man #1, JFK Jr. Airport.
1, 1, Man #1, Radio City Mutant Hall.
1, 1, Fry, Cool!  Um. Cross Town Express?
1, 1, Man #2, Pft! Tourist!
1, 1, Fry, Hey! A phone booth! I can call my nephew.  Wow! A real live robot! Or is that some kind of cheesy New Year's costume?
1, 1, Bender, Bite my shiny metal ass.
1, 1, Fry, It doesn't look so shiny to me.
1, 1, Bender, Shinier than yours, meatbag!
1, 1, Bender, Listen, buddy, I'm in a hurry here. Let's try for a two-fer!
1, 1, Booth Voice, Please select mode of death
1, 1, Fry, Yeah, I'd like to place a collect call.
1, 1, Booth Voice, You have selected
1, 1, Bender, Great choice!  Bring it on, baby!
1, 1, Bender, C'mon, c'mon! Kill me already! By the way, my name's Bender!
1, 1, Fry, Help! What's happening?
1, 1, Booth Voice, You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008.
1, 1, Bender, Lousy, stinking rip-off!  Well, I didn't have anything else planned for today. Let's go get drunk!
1, 1, Leela, Two, three-- Hey!
1, 1, Terry, Welcome to the world of tomorrow!
1, 1, Leela, Shut up, Terry.
1, 1, Ipgee, This is unacceptable, Leela. You must find this Mr. Fry and install his chip.
1, 1, Leela, Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.
1, 1, Ipgee, Well that's your job, whether you like it or not. And it's my job to make you do your job whether I like it or not, which I do, very much! Now get to work!  Life is good!
1, 1, Fry, Why would a robot need to drink?
1, 1, Bender, I don't need to drink, I can quit anytime I want!  So they made you a delivery boy, huh? Man, that's as bad as my job.
1, 1, Fry, Really? What do you do, Bender?
1, 1, Bender, I'm a bender. I bend girders, that's all I'm programmed to do.
1, 1, Fry, You any good at it?
1, 1, Bender, You kidding? I was a star! I could bend a girder to any angle
1, 1, Fry, What?
1, 1, Bender, Suicide booths!  Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.
1, 1, Fry, Wait! You're the only friend I have!
1, 1, Bender, You really want a robot for a friend?
1, 1, Fry, Yeah, ever since I was six.
1, 1, Bender, Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger.
1, 1, Fry, Oh, no, it's the Cyclops!  Don't look! Don't look!
1, 1, Bender, I'm not looking!
1, 1, Leela, This is officer 1B-DI requesting back-up.
1, 1, Smitty, We'll be there in five minutes.
1, 1, Bender, We can hide in here. It's free on Tuesdays!
1, 1, Nimoy, Welcome to the Head Museum. I'm Leonard Nimoy.
1, 1, Fry, Spock? Hey! Hey... Do the thing!
1, 1, Nimoy, I don't do that anymore.
1, 1, Fry, This is unbelievable! What do you heads do all day?
1, 1, Nimoy, We share our wisdom with those who seek it. It's a life of quiet dignity.
1, 1, Woman, Feeding time!
1, 1, Leela, Hmm.  I'm sorry, Fry, but I have to install your career chip.
1, 1, Fry, Yeah, well, if you're sorry why are you doing it?
1, 1, Leela, It's my job. You gotta do what you gotta do!  Watch it!
1, 1, Nixon, That's it! You just made my list!
1, 1, Fry, Ow! Stop it! Down, boy! Bad president!
1, 1, Smitty, Alright, buddy, step away from the head!
1, 1, URL, I'm gonna get 24th century on his ass!
1, 1, Leela, Please, officers, there's no need to use force.
1, 1, URL, Let us handle this, weird-y.
1, 1, Leela, Oh, come on, he's just a poor kid from the Stupid Ages.
1, 1, Smitty, Keep your big nose out of this, eyeball!
1, 1, Leela, No-one makes fun of my nose.
1, 1, URL, Damn!
1, 1, Leela, You guys were totally out of control.
1, 1, Smitty, It's our job. We're peace officers.
1, 1, URL, Yeah, you know the law
1, 1, Bender, Oh, we're trapped!
1, 1, Fry, Wait a second. You're a bender, right? We can get out of here if you just bend the bars.
1, 1, Bender, Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?
1, 1, Fry, Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
1, 1, Bender, I'll have to check my program ... yep.
1, 1, Leela, Open up!
1, 1, Fry, C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots.
1, 1, Bender, You're full of crap, Fry!  You make a persuasive argument, Fry.
1, 1, Fry, Come on, Bender! You can do it.
1, 1, Bender, Can't ... I ... can't ... do ... it!
1, 1, Fry, Yes!
1, 1, Bender, You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!
1, 1, Fry, I don't know how you did that.
1, 1, Leela, Wait!
1, 1, Bender, No, thanks.
1, 1, Bender, Looks like one of us will have to bend this grate.
1, 1, Fry, Good Lord! What is this?
1, 1, Bender, It's the decaying ruins of Old New York. Welcome home, pal!
1, 1, Fry, It's my old neighbourhood. Man, this brings back a lot of memories.
1, 1, Bender, Keep 'em to yourself, Pops!
1, 1, Fry, This is where I brought my girlfriend on our very first date.
1, 1, Fry, My God! She's gone. Everyone I ever knew or cared about is gone.
1, 1, Bender, Wait! There's someone you know!
1, 1, Fry, Oh, can't you leave me alone? I'm miserable enough already.
1, 1, Leela, Look, I know it's not much consolation but I understand how you feel.
1, 1, Fry, No, you don't. I've got no home, no family--
1, 1, Bender, No friends.
1, 1, Fry, My whole world is gone. You can't possibly understand what it feels like to be so alone.
1, 1, Leela, I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
1, 1, Fry, Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it.  Your chip. What are you doing?
1, 1, Leela, Quitting.
1, 1, Fry, Why?
1, 1, Leela, Because I've always wanted to. I just never realised it before I met you.
1, 1, Fry, What is the matter with you?
1, 1, Bender, I just wanted to be part of the moment.
1, 1, Leela, Hey! He stole my ring!
1, 1, Bender, Sorry.  Well, that solves the mystery of the missing ring. This calls for a drink.
1, 1, Leela, I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
1, 1, Fry, Correction
1, 1, Clark, Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!
1, 1, Farnsworth, Who are you?
1, 1, Fry, I'm your dear old Uncle Fry.
1, 1, Farnsworth, I don't have an Uncle Fry.
1, 1, Bender, You do now!
1, 1, Farnsworth, By God, I am your nephew! This is absolutely incredible!
1, 1, Bender, Can we have some money?
1, 1, Farnsworth, Oh, my, no.
1, 1, Farnsworth, Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship!  And here's where I keep assorted lengths of wire.
1, 1, Fry, Whoa! A real live spaceship!
1, 1, Farnsworth, I designed it myself. Let me show you some of the different lengths of wire I used.
1, 1, Smitty, Attention, job deserters! Come out with your hands up. We have you partially surrounded.
1, 1, Fry, No!
1, 1, Nixon, Get those bums!
1, 1, Bender, Well, we're boned!
1, 1, Leela, Can't we get away in the ship?
1, 1, Farnsworth, I suppose it is technically possible. Though I am already in my pyjamas.
1, 1, Fry, I'll get us out of here.
1, 1, Farnsworth, Can anyone drive stick?
1, 1, Leela, I can. As long as I don't have to parallel park.
1, 1, URL, If they try to take off, give 'em an ass-ful of laser.
1, 1, Leela, Prepare for lift-off. Ten.
1, 1, Crowd, Nine!
1, 1, Crowd, Amania!
1, 1, Crowd, Seven!
1, 1, Aliens, Six.
1, 1, Terry, Five!
1, 1, Nimoy, Four.
1, 1, Farnsworth, Three.
1, 1, Bender, Two.
1, 1, Leela, One!
1, 1, Fry, Blast-off!
1, 1, Nixon, Fire! Fire!
1, 1, Smitty, I can't see nothing. Pretty though!
1, 1, Fry, So, I guess, without jobs, we'll be fugitives forever.
1, 1, Farnsworth, Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?
1, 1, Bender, New crew? W-What happened to the old crew?
1, 1, Farnsworth, Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?
1, 1, Fry, Yes! Yes! That's exactly the job I've always wanted!
1, 1, Leela, Thanks for the offer, Professor, but we don't have the proper career chips.
1, 1, Farnsworth, Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew.
1, 1, Fry, This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?
1, 1, Farnsworth, If by that you mean transporting cargo then yes. It's a little home business I started to fund my research.
1, 1, Fry, Cool! What's my job gonna be?
1, 1, Farnsworth, You will be responsible for ensuring that the cargo reaches its destination.
1, 1, Fry, So, I'm gonna be a delivery boy?
1, 1, Farnsworth, Exactly!
1, 1, Fry, Alright! I'm a delivery boy!
1, 2, Farnsworth, As new employees, I'd like your opinion on our commercial. I paid to have it air during the Super Bowl.
1, 2, Fry, Wow!
1, 2, Farnsworth, Not on the same channel, of course.
1, 2, Announcer, Interplanetary deliveries - what a headache!
1, 2, Horrible Gelatinous Blob, Evans! Where's that package from Earth?
1, 2, Man, Uh...   I'm not Evans!
1, 2, Horrible Gelatinous Blob, He should've used Planet Express!
1, 2, Announcer, When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery.
1, 2, Evans, Here's your package, Mr. Horrible Gelatinous Blob.
1, 2, Horrible Gelatinous Blob, Good work, Evans! You've got a future around here.
1, 2, Evans, Thank you, sir!
1, 2, Announcer, Planet Express
1, 2, Fry, Are there really giant birds like that?
1, 2, Farnsworth, No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.
1, 2, Fry, I'm never going to get used to the 31st century.  Caffinated bacon? Baconated grapefruit? Admiral Crunch?
1, 2, Leela, Well, if you don't like that, try some Archduke Chocula.
1, 2, Farnsworth, Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you.
1, 2, Hermes, Someone come and dropped this package through the slot last night. Now which one of you is the captain?
1, 2, Farnsworth, Oh, my! I haven't picked a new captain yet. It's always so hard to choose.
1, 2, Fry, Ooh! Ooh, ooh, ooh!
1, 2, Farnsworth, Hmm, you!
1, 2, Hermes, OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen.
1, 2, Leela, Death by airlock failure.
1, 2, Hermes, Mm.
1, 2, Leela, Death by brain parasite.
1, 2, Hermes, Yeah.
1, 2, Leela, Death by sonic diarrhoea?
1, 2, Hermes, Oh, you don't want that!
1, 2, Leela, Look, I don't know about any of your previous captains but I intend to do as little dying as possible.
1, 2, Hermes, Sign the paper!
1, 2, Farnsworth, Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual.  He wears sandals!
1, 2, Fry, Hi--
1, 2, Farnsworth, Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.
1, 2, Zoidberg, Excellent, excellent!
1, 2, Farnsworth, You'll be fine.
1, 2, Zoidberg, Now open your mouth and let's have a look at that brain.  No, no, no, no, no, not that mouth!
1, 2, Fry, I only have one.
1, 2, Zoidberg, Really?
1, 2, Fry, Uh, is there a human doctor around?
1, 2, Zoidberg, Young lady, I'm an expert on humans. Now pick a mouth, open it and say...  What? My mother was a saint! Get out!
1, 2, Farnsworth, Dear Lord, Bender, you're filthy.
1, 2, Bender, Yeah, like you don't have crap in your neck!
1, 2, Farnsworth, Amy, why don't you give his body a going over with the cleaning pick?
1, 2, Amy, OK. Does it hurt when I go like this?
1, 2, Leela, Ow!
1, 2, Bender, A little.
1, 2, Fry, Well, the doctor says I'm as healthy as a crab. Can I go into space now?
1, 2, Farnsworth, As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine.  I like having her around because she's the same blood type as me.
1, 2, Amy, Hey! You're the unfrozen guy! From the 20th century, right?
1, 2, Fry, Last time I checked.
1, 2, Leela, Hang on. Amy Wong? Of the Mars Wongs?
1, 2, Amy, Look, we're not as rich as everybody says.
1, 2, Leela, Uh-huh! What sorority do you belong to?
1, 2, Amy, Kappa Kappa Wong.
